Region,Country,City,Year,YearlyAvgTemp
Europe,Finland,Helsinki,2009,42.05
Europe,Finland,Helsinki,2010,40.11
Europe,Finland,Helsinki,2011,44.21
Europe,Finland,Helsinki,2012,41.51
Europe,Finland,Helsinki,2013,43.64
Europe,Finland,Helsinki,2014,44.1
Europe,Finland,Helsinki,2015,44.92
Europe,Finland,Helsinki,2016,42.9
Europe,Finland,Helsinki,2017,42.82
Europe,Finland,Helsinki,2018,44.01
Europe,Finland,Helsinki,2019,43.88
Asia,Hong Kong,Hong Kong,1995,74.12
Asia,Hong Kong,Hong Kong,1996,74.97
Asia,Hong Kong,Hong Kong,1997,75.25
Asia,Hong Kong,Hong Kong,1998,76.25
Asia,Hong Kong,Hong Kong,1999,75.54
Asia,Hong Kong,Hong Kong,2000,75.23
Asia,Hong Kong,Hong Kong,2001,75.57
Asia,Hong Kong,Hong Kong,2002,75.87
Asia,Hong Kong,Hong Kong,2003,75.75
Asia,Hong Kong,Hong Kong,2004,75.33
Asia,Hong Kong,Hong Kong,2005,75.08
Asia,Hong Kong,Hong Kong,2006,75.89
Asia,Hong Kong,Hong Kong,2007,76.17
Asia,Hong Kong,Hong Kong,2008,74.8
Asia,Hong Kong,Hong Kong,2009,75.93
Asia,Hong Kong,Hong Kong,2010,75.45
Asia,Hong Kong,Hong Kong,2011,74.71
Asia,Hong Kong,Hong Kong,2012,75.6
Asia,Hong Kong,Hong Kong,2013,75.45
Asia,Hong Kong,Hong Kong,2014,76.13
Asia,Hong Kong,Hong Kong,2015,77.22
Asia,Hong Kong,Hong Kong,2016,76.18
Asia,Hong Kong,Hong Kong,2017,76.63
Asia,Hong Kong,Hong Kong,2018,76.18
Asia,Hong Kong,Hong Kong,2019,77.31
North America,United States of America,Honolulu,1995,78.38
North America,United States of America,Honolulu,1996,77.81
North America,United States of America,Honolulu,1997,77.01
North America,United States of America,Honolulu,1998,76.2
North America,United States of America,Honolulu,1999,76.15
North America,United States of America,Honolulu,2000,76.85
North America,United States of America,Honolulu,2001,77.46
North America,United States of America,Honolulu,2002,77.22
North America,United States of America,Honolulu,2003,77.96
North America,United States of America,Honolulu,2004,78.24
North America,United States of America,Honolulu,2005,77.84
North America,United States of America,Honolulu,2006,76.53
North America,United States of America,Honolulu,2007,77.29
North America,United States of America,Honolulu,2008,77.54
North America,United States of America,Honolulu,2009,77.4
North America,United States of America,Honolulu,2010,76.78
North America,United States of America,Honolulu,2011,77.63
North America,United States of America,Honolulu,2012,76.41
North America,United States of America,Honolulu,2013,76.5
North America,United States of America,Honolulu,2014,77.67
North America,United States of America,Honolulu,2015,78.16
North America,United States of America,Honolulu,2016,77.26
North America,United States of America,Honolulu,2017,77.72
North America,United States of America,Honolulu,2018,78.23
North America,United States of America,Honolulu,2019,78.94
North America,United States of America,Houston,1995,69.79
North America,United States of America,Houston,1996,68.62
North America,United States of America,Houston,1997,66.79
North America,United States of America,Houston,1998,70.22
North America,United States of America,Houston,1999,70.15
North America,United States of America,Houston,2000,69.28
North America,United States of America,Houston,2001,68.04
North America,United States of America,Houston,2002,68.81
North America,United States of America,Houston,2003,69.16
North America,United States of America,Houston,2004,69.89
North America,United States of America,Houston,2005,69.8
North America,United States of America,Houston,2006,70.57
North America,United States of America,Houston,2007,69.41
North America,United States of America,Houston,2008,69.62
North America,United States of America,Houston,2009,69.97
North America,United States of America,Houston,2010,69.1
North America,United States of America,Houston,2011,71.27
North America,United States of America,Houston,2012,71.49
North America,United States of America,Houston,2013,68.96
North America,United States of America,Houston,2014,68.3
North America,United States of America,Houston,2015,69.69
North America,United States of America,Houston,2016,70.73
North America,United States of America,Houston,2017,71.65
North America,United States of America,Houston,2018,70.22
North America,United States of America,Houston,2019,70.24
North America,United States of America,Huntsville,1995,59.98
North America,United States of America,Huntsville,1996,59.57
North America,United States of America,Huntsville,1997,59.7
North America,United States of America,Huntsville,1998,63.4
North America,United States of America,Huntsville,1999,62.34
North America,United States of America,Huntsville,2000,61.34
North America,United States of America,Huntsville,2001,60.38
North America,United States of America,Huntsville,2002,61.57
North America,United States of America,Huntsville,2003,60.41
North America,United States of America,Huntsville,2004,61.05
North America,United States of America,Huntsville,2005,61.49
North America,United States of America,Huntsville,2006,62.24
North America,United States of America,Huntsville,2007,63.46
North America,United States of America,Huntsville,2008,61.16
North America,United States of America,Huntsville,2009,61.38
North America,United States of America,Huntsville,2010,61.44
North America,United States of America,Huntsville,2011,62.01
North America,United States of America,Huntsville,2012,63.58
North America,United States of America,Huntsville,2013,60.57
North America,United States of America,Huntsville,2014,60.75
North America,United States of America,Huntsville,2015,63.77
North America,United States of America,Huntsville,2016,64.4
North America,United States of America,Huntsville,2017,63.85
North America,United States of America,Huntsville,2018,62.95
North America,United States of America,Huntsville,2019,63.41
North America,United States of America,Indianapolis,1995,52.64
North America,United States of America,Indianapolis,1996,51.14
North America,United States of America,Indianapolis,1997,51.51
North America,United States of America,Indianapolis,1998,56.34
North America,United States of America,Indianapolis,1999,54.72
North America,United States of America,Indianapolis,2000,52.72
North America,United States of America,Indianapolis,2001,54.31
North America,United States of America,Indianapolis,2002,54.03
North America,United States of America,Indianapolis,2003,52.32
North America,United States of America,Indianapolis,2004,53.42
North America,United States of America,Indianapolis,2005,53.94
North America,United States of America,Indianapolis,2006,54.55
North America,United States of America,Indianapolis,2007,55.12
North America,United States of America,Indianapolis,2008,52.53
North America,United States of America,Indianapolis,2009,53.17
North America,United States of America,Indianapolis,2010,54.53
North America,United States of America,Indianapolis,2011,55.02
North America,United States of America,Indianapolis,2012,56.72
North America,United States of America,Indianapolis,2013,52.24
North America,United States of America,Indianapolis,2014,49.98
North America,United States of America,Indianapolis,2015,53.74
North America,United States of America,Indianapolis,2016,55.35
North America,United States of America,Indianapolis,2017,55.39
North America,United States of America,Indianapolis,2018,54.1
North America,United States of America,Indianapolis,2019,53.74
Asia,Pakistan,Islamabad,1995,70.18
Asia,Pakistan,Islamabad,1996,69.95
Asia,Pakistan,Islamabad,1997,69.0
Asia,Pakistan,Islamabad,1998,71.08
Asia,Pakistan,Islamabad,1999,72.93
Asia,Pakistan,Islamabad,2000,76.08
Asia,Pakistan,Islamabad,2001,72.03
Asia,Pakistan,Islamabad,2002,72.63
Asia,Pakistan,Islamabad,2003,70.81
Asia,Pakistan,Islamabad,2004,71.67
Asia,Pakistan,Islamabad,2005,70.03
Asia,Pakistan,Islamabad,2006,72.3
Asia,Pakistan,Islamabad,2007,71.45
Asia,Pakistan,Islamabad,2008,71.22
Asia,Pakistan,Islamabad,2009,72.14
Asia,Pakistan,Islamabad,2010,72.79
Asia,Pakistan,Islamabad,2011,72.08
Asia,Pakistan,Islamabad,2012,72.29
Asia,Pakistan,Islamabad,2013,72.16
Asia,Pakistan,Islamabad,2014,71.09
Asia,Pakistan,Islamabad,2015,71.3
Asia,Pakistan,Islamabad,2016,73.36
Asia,Pakistan,Islamabad,2017,72.96
Asia,Pakistan,Islamabad,2018,73.03
Asia,Pakistan,Islamabad,2019,62.7
Middle East,Turkey,Istanbul,1995,58.66
Middle East,Turkey,Istanbul,1996,57.71
Middle East,Turkey,Istanbul,1997,57.08
Middle East,Turkey,Istanbul,1998,59.25
Middle East,Turkey,Istanbul,1999,60.49
Middle East,Turkey,Istanbul,2000,59.48
Middle East,Turkey,Istanbul,2001,60.7
Middle East,Turkey,Istanbul,2002,59.74
Middle East,Turkey,Istanbul,2003,58.31
Middle East,Turkey,Istanbul,2004,58.81
Middle East,Turkey,Istanbul,2005,58.79
Middle East,Turkey,Istanbul,2006,58.92
Middle East,Turkey,Istanbul,2007,60.83
Middle East,Turkey,Istanbul,2008,60.49
Middle East,Turkey,Istanbul,2009,60.62
Middle East,Turkey,Istanbul,2010,61.49
Middle East,Turkey,Istanbul,2011,58.85
Middle East,Turkey,Istanbul,2012,61.12
Middle East,Turkey,Istanbul,2013,61.17
Middle East,Turkey,Istanbul,2014,61.74
Middle East,Turkey,Istanbul,2015,61.28
Middle East,Turkey,Istanbul,2016,61.63
Middle East,Turkey,Istanbul,2017,60.79
Middle East,Turkey,Istanbul,2018,62.75
